PlanName_Abbreviation,PlanCode,Product_Type,Payment_Freqeuncy,Life,Abbreviation,primaryInsured Rider/ Rider Name,Dependency_C,Dependency_O,Visibility,planWiseSumAssMin,planWiseSumAssMax,DBNAME,Remarks,TLR ,SINGLE_FACTOR,Rider_output_Name
Advance_Payment_yher,6,Life,R,spouseInsured,yher,Rider 9,,,,1000,2 %TLR< yrbr+yfpr+yftr+yfir>,HCB_N     ,,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_ymer,6,Life,R,spouseInsured,ymer,Rider 10,,,,100000,50 %TLR< yrbr+yfpr+yftr+yfir>,CMM,0,0,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_yfir,6,Life,R,spouseInsured,yfir,Rider 11,,yrbr,,1*yrbr,6*yrbr,FIB,Should be multiple of YRBR,,NA,Family Income Benefit (An Yearly Income for 10 Years)
Advance_Payment_yhor,6,Life,R,spouseInsured,yhor,Rider 12,,,,200000,50%TLR< yrbr+yfpr+yftr+yfir>,HSB,Refer Plan & Term Matri*,,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child1_zier,6,Life,R,child1,zier,Rider 1,child2_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child1_zher,6,Life,R,child1,zher,Rider 2,child2_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child1_zmer,6,Life,R,child1,zmer,Rider 3,child2_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child1_zhor,6,Life,R,child1,zhor,Rider 4,child2_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child2_zier,6,Life,R,child2,zier,Rider 1,child1_zier::child3_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child2_zher,6,Life,R,child2,zher,Rider 2,child1_zher::child3_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child2_zmer,6,Life,R,child2,zmer,Rider 3,child1_zmer::child3_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child2_zhor,6,Life,R,child2,zhor,Rider 4,child1_zhor::child3_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child3_zier,6,Life,R,child3,zier,Rider 1,child1_zier::child2_zier::child4_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child3_zher,6,Life,R,child3,zher,Rider 2,child1_zher::child2_zher::child4_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child3_zmer,6,Life,R,child3,zmer,Rider 3,child1_zmer::child2_zmer::child4_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child3_zhor,6,Life,R,child3,zhor,Rider 4,child1_zhor::child2_zhor::child4_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child4_zier,6,Life,R,child4,zier,Rider 1,child1_zier::child2_zier::child3_zier::child5_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child4_zher,6,Life,R,child4,zher,Rider 2,child1_zher::child2_zher::child3_zher::child5_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child4_zmer,6,Life,R,child4,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child5_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child4_zhor,6,Life,R,child4,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child5_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_child5_zier,6,Life,R,child5,zier,Rider 1,child1_zier::child2_zier::child3_zier::child4_zier,,,300000,1*ider|yier,FDBC      ,Multiple Child ZIER benefit should be Equal,,NA,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_child5_zher,6,Life,R,child5,zher,Rider 2,child1_zher::child2_zher::child3_zher::child4_zher,,,1000,1*hcer|yher,HCB_N     ,Multiple Child ZHER benefit should be Equal,,NA,Ceylinco Life Hospital Cash Plus
Advance_Payment_child5_zmer,6,Life,R,child5,zmer,Rider 3,child1_zmer::child2_zmer::child3_zmer::child4_zmer,,,100000,1*cmer|ymer,CMM,Multiple Child ZMER benefit should be Equal,,NA,Major Surgery (526 list of Surgeries)
Advance_Payment_child5_zhor,6,Life,R,child5,zhor,Rider 4,child1_zhor::child2_zhor::child3_zhor::child4_zhor,,,200000,1*horr|yhor,HSB ( code changes to sum ass ) ,Sum Assured Packages, Multiple Child ZHOR benefit should be Equal,NA,Health Support Plus (Hospital Bill reimbursement)
Advance_Payment_basic_plan_S,6,Life,S,primaryInsured,006s,primaryInsured Rider,,fibs,,,,PL6_2     ,,TLR = 003S+FPUS+FDTS+FIBS,SFC,
Advance_Payment_fpus,6,Life,S,primaryInsured,fpus,Rider 1,,,,1*basic_plan,6*basic_plan,FPB       ,,,SFC,Family Protection (Loss of Life)
Advance_Payment_ides,6,Life,S,primaryInsured,ides,Rider 2,fdts,,,0.5*basic_plan,7*basic_plan,FDB       ,0,0,SFC,Family Digasiri Plus (36 Critical Illnesses)
Advance_Payment_fdts,6,Life,S,primaryInsured,fdts,Rider 3,ides,,N,1*ides,1*ides,NA,Load Default Value of IDES,,SFC,
Advance_Payment_fdcs,6,Life,S,primaryInsured,fdcs,Rider 4,,ides,,100000,1*ides,CCCR      ,,,SFC,Extra Cover for Cancer (At diagnosis of Cancer)
Advance_Payment_adbs,6,Life,S,primaryInsured,adbs,Rider 5,pdbs::toas,,,1*basic_plan,(basic_plan + fpus)*2,ADB       ,,,SFC,Accidental Death (Additional Amount on Accidental Death)
Advance_Payment_pdbs,6,Life,S,primaryInsured,pdbs,Rider 6,adbs,,,100000,0.5*toas ,CPDB,,,SFC,Partial & Permanent Disability (PDB)
Advance_Payment_toas,6,Life,S,primaryInsured,toas,Rider 7,adbs::toss,,,1*basic_plan,10* basic_plan|2*TLR<basic_plan+fpus_fdts+fibs>,TPDA      ,,,SFC,Total & Permanent Disability - Accident (Monthly Income for 10 years)
Advance_Payment_toss,6,Life,S,primaryInsured,toss,Rider 8,toas,,,1*toas,1*toas,TPDS      ,,,SFC,Total & Permanent Disability - Sickness (Monthly Income for 10 years)
Advance_Payment_fibs,6,Life,S,primaryInsured,fibs,Rider 11,,003S -O,,1*basic_plan,6*basic_plan,FIB,Should be multiple of 003S,,SFC,Family Income Benefit (An Yearly Income for 10 Years)
Advance_Payment_yrbs,6,Life,S,spouseInsured,yrbs,primaryInsured Rider,,,,100000,1*basic_plan,FPB       ,Should not exceed primaryInsured Life Rider Amounts,TLR = YRBS+YFPS+YFTS+YFIS,SFC,
